INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,DESTOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,DEST_UA_OBS,VIS_METERS
54,20180110,855,IAH,72243012960,2018-01-10 13:53:00+00:00,72243012960,2018-01-10 13:53:00+00:00,FM-15,MET13301/10/18 07:53:02 METAR KIAH 101353Z 08005KT 1/4SM -DZ BR BKN004 OVC012 12/11 A3002 RMK AO2 SFC VIS 1 1/2 SLP165 P0000 T01170111 (WS),402
52,20180109,252,IAH,72243012960,2018-01-10 13:53:00+00:00,72243012960,2018-01-10 13:53:00+00:00,FM-15,MET13301/10/18 07:53:02 METAR KIAH 101353Z 08005KT 1/4SM -DZ BR BKN004 OVC012 12/11 A3002 RMK AO2 SFC VIS 1 1/2 SLP165 P0000 T01170111 (WS),402
55,20180110,1238,MSY,72231012916,2018-01-10 14:53:00+00:00,72231012916,2018-01-10 14:53:00+00:00,FM-15,MET06001/10/18 08:53:02 METAR KMSY 101453Z 09008KT 1/4SM RVRNO RMK,402
65,20180111,618,SEA,72793024233,2018-01-11 20:21:00+00:00,72793024233,2018-01-11 20:21:00+00:00,FM-16,MET13401/11/18 12:21:02 SPECI KSEA 112021Z 29005KT 1/4SM R16L/P6000FT RA BR BKN007 OVC015 07/06 A2967 RMK AO2 SFC VIS 2 P0005 T00720061 (JC),402
74,20180111,209,SEA,72793024233,2018-01-11 20:21:00+00:00,72793024233,2018-01-11 20:21:00+00:00,FM-16,MET13401/11/18 12:21:02 SPECI KSEA 112021Z 29005KT 1/4SM R16L/P6000FT RA BR BKN007 OVC015 07/06 A2967 RMK AO2 SFC VIS 2 P0005 T00720061 (JC),402
73,20180111,438,SEA,72793024233,2018-01-11 20:21:00+00:00,72793024233,2018-01-11 20:21:00+00:00,FM-16,MET13401/11/18 12:21:02 SPECI KSEA 112021Z 29005KT 1/4SM R16L/P6000FT RA BR BKN007 OVC015 07/06 A2967 RMK AO2 SFC VIS 2 P0005 T00720061 (JC),402
66,20180111,675,GEG,72785024157,2018-01-11 20:53:00+00:00,72785024157,2018-01-11 20:53:00+00:00,FM-15,MET15601/11/18 12:53:02 METAR KGEG 112053Z 10005KT 1/4SM R03/3500FT SN FG VV005 01/01 A2982 RMK AO2 SFC VIS 1/2 SLP116 SNINCR 1/3 P0005 60014 T00060006 58037 (DL),402
72,20180111,449,ATL,72219013874,2018-01-11 21:52:00+00:00,72219013874,2018-01-11 21:52:00+00:00,FM-15,MET16801/11/18 16:52:02 METAR KATL 112152Z 00000KT 1/4SM R09R/P6000FT BR BCFG BKN003 BKN007 OVC020 15/15 A2999 RMK AO2 SFC VIS 1 3/4 DZE46 SLP153 TWRINC P0000 T01500150 (CJL),402
64,20180111,1970,ATL,72219013874,2018-01-11 21:52:00+00:00,72219013874,2018-01-11 21:52:00+00:00,FM-15,MET16801/11/18 16:52:02 METAR KATL 112152Z 00000KT 1/4SM R09R/P6000FT BR BCFG BKN003 BKN007 OVC020 15/15 A2999 RMK AO2 SFC VIS 1 3/4 DZE46 SLP153 TWRINC P0000 T01500150 (CJL),402
68,20180111,1949,ATL,72219013874,2018-01-11 22:52:00+00:00,72219013874,2018-01-11 22:52:00+00:00,FM-15,MET14701/11/18 17:52:02 METAR KATL 112252Z 07006KT 1/4SM R09R/P6000FT BR OVC003 15/15 A2998 RMK AO2 SFC VIS 3 RAB05E18 SLP151 TWRINC P0000 T01500150 (RF),402
61,20180111,568,ATL,72219013874,2018-01-11 23:52:00+00:00,72219013874,2018-01-11 23:52:00+00:00,FM-15,MET16501/11/18 18:52:02 METAR KATL 112352Z 09009KT 1/4SM R09R/P6000FT OVC003 15/15 A2997 RMK AO2 SFC VIS 7 SLP146 CIG 002V005 TWRINC 60000 T01500150 10156 20133 58008 (RF),402
